order_id,customer_id,shipping_city,amount,payment_method
1,7744,Jerash,8628.31,Cash
2,8798,Jerash,2433.1,Cash
3,6132,Jerash,840.66,Cash
4,2004,Amman,6347.86,Credit Card
5,9494,Karak,474.8,Debit Card
6,9971,Aqaba,1958.3,PayPal
7,3036,Salt,7420.94,Cash
8,5720,Madaba,8968.25,Cash
9,4237,Jerash,3237.65,Cash
10,3366,Jerash,8256.41,PayPal
11,7623,Zarqa,4272.55,Cash
12,3577,Aqaba,3426.04,Debit Card
13,4675,Madaba,3535.06,Debit Card
14,5289,Salt,2556.85,Credit Card
15,8831,Zarqa,4801.81,Credit Card
16,539,Aqaba,9974.49,PayPal
17,4921,Mafraq,802.5,PayPal
18,345,Salt,8275.5,Cash
19,1179,Ajloun,9578.84,Credit Card
20,1906,Jerash,5893.47,Credit Card
21,8808,Aqaba,4773.85,Cash
22,3627,Madaba,6214.23,PayPal
23,4602,Karak,8274.57,PayPal
24,9815,Aqaba,6934.97,Cash
25,4975,Karak,5229.34,PayPal
26,2729,Irbid,1732.06,Debit Card
27,4678,Zarqa,4597.66,PayPal
28,4142,Jerash,3793.88,Credit Card
29,8404,Amman,1124.31,PayPal
30,827,Mafraq,1602.17,PayPal
31,8808,Aqaba,8924.2,Cash
32,9616,Salt,7104.89,Debit Card
33,8043,Karak,6361.29,Debit Card
34,2728,Zarqa,2940.75,Debit Card
35,143,Madaba,9689.34,Cash
36,2831,Madaba,8147.05,Credit Card
37,8424,Ajloun,3638.32,Credit Card
38,2148,Jerash,8967.95,Cash
39,73,Karak,7875.16,Credit Card
40,5411,Amman,817.21,Cash
41,5221,Salt,7843.27,Cash
42,972,Jerash,7969.94,Credit Card
43,4478,Irbid,9048.25,Cash
44,5474,Karak,6382.32,Debit Card
45,4921,Jerash,6472.89,Cash
46,3873,Mafraq,8494.89,Cash
47,3410,Mafraq,7457.15,Credit Card
48,8029,Karak,2468.88,Credit Card
49,7624,Salt,5741.44,PayPal
50,3237,Ajloun,7930.34,Cash
51,252,Irbid,5787.41,Credit Card
52,6264,Mafraq,6553.68,Credit Card
53,6695,Aqaba,3836.11,PayPal
54,170,Madaba,8617.28,Debit Card
55,3245,Amman,9369.11,Credit Card
56,3120,Amman,5295.86,Credit Card
57,8980,Ajloun,164.84,Credit Card
58,7415,Aqaba,7332.41,PayPal
59,1787,Ajloun,1783.2,Credit Card
60,579,Mafraq,268.39,Cash
61,6460,Salt,69.65,PayPal
62,456,Aqaba,428.12,Debit Card
63,4985,Ajloun,8197.75,Debit Card
64,5722,Zarqa,4623.19,Credit Card
65,6270,Madaba,7100.89,Debit Card
66,5468,Aqaba,6875.98,Debit Card
67,877,Zarqa,6766.68,Cash
68,3703,Zarqa,1297.53,Cash
69,8371,Aqaba,558.55,PayPal
70,7356,Madaba,9041.0,Credit Card
71,4998,Zarqa,153.77,Credit Card
72,9487,Madaba,7200.41,Cash
73,8917,Mafraq,5973.86,Cash
74,369,Amman,2499.14,PayPal
75,7109,Jerash,6556.78,Cash
76,1437,Jerash,2041.6,PayPal
77,8262,Aqaba,7332.28,PayPal
78,6219,Amman,6984.72,Debit Card
79,7812,Madaba,7067.79,Debit Card
80,8572,Karak,8236.04,Cash
81,5308,Madaba,6019.92,Cash
82,8768,Madaba,3936.24,Credit Card
83,449,Ajloun,6290.3,Debit Card
84,487,Karak,7256.32,Credit Card
85,7891,Karak,9891.48,Debit Card
86,8316,Madaba,8826.23,Credit Card
87,9701,Irbid,9677.51,Cash
88,172,Jerash,2805.62,Cash
89,7424,Zarqa,8521.24,Credit Card
90,1857,Zarqa,8042.24,Cash
91,661,Irbid,3222.59,Credit Card
92,9626,Ajloun,1261.12,Cash
93,6822,Amman,4963.04,Cash
94,310,Madaba,8715.01,PayPal
95,3878,Karak,2808.55,Credit Card
96,6804,Aqaba,3832.94,Cash
97,1967,Irbid,7018.5,Cash
98,3955,Zarqa,3931.8,Cash
99,2162,Jerash,8244.84,PayPal
100,6358,Mafraq,315.75,PayPal
101,6891,Karak,8948.34,Credit Card
102,4354,Amman,1739.76,Debit Card
103,8079,Aqaba,9638.04,Credit Card
