order_id,customer_id,shipping_city,amount,payment_method
1,14867,Jerash,1458.09,PayPal
2,6345,Ajloun,5101.85,Debit Card
3,25280,Amman,2237.21,Debit Card
4,22118,Ajloun,4104.9,PayPal
5,22361,Aqaba,1409.08,Credit Card
6,4358,Jerash,7654.38,Credit Card
7,29610,Jerash,6196.14,Credit Card
8,24217,Amman,3234.86,Debit Card
9,3453,Amman,2842.21,Credit Card
10,24514,Salt,1213.27,PayPal
11,23000,Karak,870.99,Debit Card
12,138,Aqaba,1316.39,Debit Card
13,757,Zarqa,3003.91,PayPal
14,14053,Aqaba,9340.33,Debit Card
15,16838,Mafraq,7749.34,Debit Card
16,20780,Irbid,743.32,Cash
17,18807,Ajloun,8619.83,Credit Card
18,23629,Karak,5941.23,Credit Card
19,8676,Madaba,1086.33,Cash
20,4350,Amman,8066.09,Cash
21,10234,Karak,4189.87,Debit Card
22,16903,Ajloun,1848.76,Credit Card
23,12355,Madaba,2971.79,Cash
24,5425,Mafraq,1337.23,Credit Card
25,24260,Madaba,622.6,Cash
26,27271,Madaba,9189.42,Cash
27,2830,Karak,7714.31,Credit Card
28,16181,Aqaba,3796.99,Cash
29,3845,Madaba,4745.95,Debit Card
30,28143,Amman,8840.86,Debit Card
31,28846,Zarqa,7340.36,Debit Card
32,19562,Jerash,7638.03,PayPal
33,17167,Zarqa,1189.53,Debit Card
34,1358,Irbid,3094.64,Credit Card
35,21471,Amman,825.15,Cash
36,4749,Madaba,5551.74,PayPal
37,19034,Salt,2204.74,Debit Card
38,4648,Irbid,7655.76,Debit Card
39,16605,Zarqa,3739.83,PayPal
40,3769,Jerash,980.33,Credit Card
41,27901,Aqaba,9514.9,PayPal
42,24384,Madaba,9078.51,PayPal
43,9990,Zarqa,7608.28,Cash
44,20443,Zarqa,4703.46,Debit Card
45,6063,Jerash,7245.54,PayPal
46,14236,Jerash,1702.46,Credit Card
47,14100,Madaba,5583.14,Debit Card
48,5391,Madaba,4781.13,Cash
49,22434,Karak,1221.91,PayPal
50,20358,Jerash,420.78,Credit Card
51,14145,Karak,7681.32,Cash
52,9083,Zarqa,7875.89,Cash
53,8133,Irbid,6982.08,PayPal
54,18838,Madaba,6736.09,Debit Card
55,2720,Zarqa,9579.23,Debit Card
56,5285,Mafraq,3190.07,PayPal
57,18936,Mafraq,8781.1,PayPal
58,23356,Karak,4814.15,Debit Card
59,2840,Karak,4414.21,Debit Card
60,6059,Ajloun,4228.14,Credit Card
61,28119,Ajloun,8179.37,Credit Card
62,17715,Aqaba,4842.09,Debit Card
63,16872,Irbid,3930.76,Debit Card
64,13969,Irbid,766.81,Credit Card
65,812,Mafraq,3551.64,Credit Card
66,3110,Amman,1865.71,Credit Card
67,11655,Zarqa,1119.55,Credit Card
68,5478,Jerash,9600.86,Debit Card
69,16155,Zarqa,4589.2,Debit Card
70,1944,Aqaba,3047.71,Cash
71,3560,Jerash,9550.83,PayPal
72,25928,Ajloun,3244.43,Debit Card
73,14561,Madaba,6226.55,PayPal
74,7900,Madaba,7228.4,PayPal
75,6686,Karak,6133.12,Cash
76,9849,Ajloun,2680.78,Cash
77,19137,Jerash,7693.58,Credit Card
78,2794,Ajloun,6693.85,Debit Card
79,6619,Irbid,5252.73,Credit Card
80,25815,Amman,997.01,Credit Card
81,10844,Jerash,4087.57,Debit Card
82,18050,Zarqa,1316.43,Debit Card
83,20769,Aqaba,3452.92,PayPal
84,9940,Amman,3080.79,Debit Card
